,volatility_ann_w1,volume_avg_w1,market_cap_avg_w1,volatility_ann_w3,volume_avg_w3,market_cap_avg_w3,volatility_ann_w5,volume_avg_w5,market_cap_avg_w5,volatility_ann_w10,volume_avg_w10,market_cap_avg_w10,volatility_ann_w30,volume_avg_w30,market_cap_avg_w30
WFC,0.016585626664950014,13851500.0,270557704338.76062,0.04017299944805684,14200600.0,270306571827.56516,0.0931609592354569,15002280.0,270221968479.38193,0.10558165874070936,15056950.0,270444237276.8169,0.31306590319664657,15693286.666666666,262703521080.68903
C,0.11459454380442737,9639500.0,180286462003.12488,0.11230627600175931,11932400.0,180739739487.16068,0.11582893839039048,11014420.0,180923437588.69284,0.17375539328059073,11200340.0,180177046368.07227,0.26475036026672305,13008940.0,176083444780.52228
MS,0.13885166341309965,3237600.0,264620000281.5,0.18535348280150835,4858766.666666667,261658589205.4115,0.17902838634864962,4600440.0,261444558532.05463,0.13532973413808094,4870810.0,260879945825.914,0.24343220317087735,5551053.333333333,254046668375.98
GS,0.2589336035465657,1521500.0,243035071016.16266,0.15343371176598514,1772700.0,239327959013.68668,0.15774972008478674,1744660.0,238414377940.77646,0.1444235955755004,1774750.0,237347229955.44696,0.2337006353660128,2043656.6666666667,233879856342.72156
BLK,0.045828768171748684,309600.0,168456652470.9856,0.09571833349008924,397800.0,168110662661.10013,0.11553642693180174,431860.0,167364384011.0432,0.18517983537287797,627370.0,167581599071.5072,0.23637184603020833,666930.0,175299064501.32617
AXP,0.09808133238867948,2132900.0,254985330397.1301,0.0806708502173956,2587300.0,254089824649.7024,0.10460305177583507,2462460.0,253237024565.46274,0.10014779487036911,2206420.0,250607676880.99005,0.2726311184930273,2448893.3333333335,238670181293.395
SCHW,0.08943423317984903,5641900.0,170799167212.9026,0.0607485413502922,6961500.0,169958080374.00818,0.07243765473018703,7114720.0,168745023317.82437,0.11592485390203335,7407630.0,167982717280.81097,0.16868152797069227,8353156.666666667,167208564275.6268
PYPL,0.27319354468528007,10032500.0,63062943059.89158,0.15864208107793118,11537233.333333334,62336252805.318275,0.33754760927564276,11939600.0,62537105691.4753,0.40228112646135394,17045510.0,63202353573.320175,0.4473867497566318,17973486.666666668,64791402854.21626
UNH,0.2871556298138183,7157800.0,296616867176.60034,0.21032837103265759,8614833.333333334,293866123227.57324,0.23682734082805215,8692740.0,293951874918.2238,0.2574149506800904,9599930.0,301529217186.04395,0.25014554767618497,8796490.0,318450888748.436
JNJ,0.4502175042896754,7465600.0,466993674032.21106,0.24398454926660693,6582866.666666667,456810392616.4925,0.20779117522103357,6313080.0,453805194996.6903,0.18333051294843858,7273270.0,452807743295.2215,0.1384891728230526,8046460.0,456603987169.86505
PFE,0.7127233980274007,139673800.0,145042400952.87518,0.4174409989560396,135475633.33333334,140872880635.4583,0.2970906401390851,127561000.0,139793527970.8894,0.26169115574105256,130045210.0,138168266567.17166,0.2973152605856956,78501470.0,140183858613.4354
MRK,0.7505380419461496,15436000.0,225739942074.66833,0.3818061924880928,10989966.666666666,218401432816.3119,0.28483588216333355,10602300.0,215514013771.06732,0.3530102102403315,11971910.0,213290123699.68024,0.3157535911393496,11403556.666666666,215020921227.8379
ABBV,0.4620907679904058,4802400.0,397961994351.2621,0.27447592598843074,4660366.666666667,390615573834.4812,0.19806125633095442,5104920.0,388418122732.0919,0.3538673340401766,6189820.0,388485281514.2738,0.28710752598803635,5935030.0,400473743052.7599
LLY,0.3569203788865251,4166400.0,886255076705.3497,0.47092409679560826,4745466.666666667,860487927098.7999,0.3363020526888286,5585340.0,850357367500.6301,0.3045584623788844,5388310.0,812831689757.5051,0.3491974070931181,3926783.3333333335,764080871272.1798
TMO,0.2768598038763058,1377700.0,220349015853.886,0.08434684804212472,1674000.0,217315795482.7833,0.12115023258520141,1596540.0,215571510891.48358,0.13815823202274474,1659460.0,213436363643.24738,0.3142490850914551,2097420.0,207234804212.3185
DHR,0.3435591759979,2843000.0,152423167457.43286,0.2015357801735949,2708733.3333333335,149958010787.82816,0.19584147555614062,2781460.0,149715027802.7794,0.15585593446665688,3084060.0,150601496719.90518,0.3278443846957593,4171450.0,150004396234.21304
BMY,0.4829884455284841,14446000.0,99181889960.49008,0.2337894054609749,11397600.0,96813626878.17162,0.18951728467023002,11502940.0,95993898421.53676,0.3623422766722084,17376780.0,93984609624.7515,0.31702085549381204,16818816.666666668,91361674986.02011
AMGN,0.7093176762816658,3136500.0,182248789673.20038,0.29532322693102453,2773433.3333333335,176318321016.16196,0.5433216108654393,3427360.0,174226499115.11206,0.4269924884651312,3087220.0,166549917157.48846,0.32755747184095296,2416723.3333333335,161600383418.75522
CAT,0.08140886660599853,1517400.0,266063231308.1479,0.20960996000774995,1889133.3333333333,265764961056.3502,0.3154848233202238,2122900.0,266171921620.77652,0.6539723495360261,2899270.0,267261606912.54193,0.4354929634365706,2999736.6666666665,248761855379.66583
GE,0.06220712313119442,2682200.0,327751779713.53467,0.15107940936442926,3721700.0,326967697510.1807,0.11358311233182669,3868800.0,324948076097.3629,0.15620755377581746,3798240.0,325632655733.5834,0.21428092521254904,3601813.3333333335,320508723118.3224
BA,0.032562179574982295,5783400.0,148378241411.46002,0.10300811699142573,7033433.333333333,148124872389.41455,0.07694462769294684,7745300.0,148788687861.0,0.40811457699109455,10650370.0,151717336766.23254,0.3216664709705889,8083413.333333333,160718893611.06766
DE,0.11868339225911333,1179100.0,129203936206.31934,0.2513851091055338,1338166.6666666667,127967629676.90869,0.1897774630256588,1232940.0,128092881415.22354,0.18999474059533233,1198530.0,127054004109.80302,0.202972967237255,1233356.6666666667,125097720354.69771
XOM,0.20810544682392693,16077100.0,505112254852.2949,0.12181101398663165,15435400.0,499320915049.23505,0.1583359329866375,14585360.0,492039561286.9263,0.1777979671773156,15103470.0,487822561286.9263,0.1660621412584819,13023890.0,480870133009.847
CVX,0.060060629861776745,6361400.0,312379016978.0573,0.08791016971520085,8211366.666666667,311172731765.7072,0.10396711157083104,7399020.0,308904133348.6815,0.2161643251647808,7993580.0,309156050803.6258,0.16870669408599645,6847426.666666667,307739840988.82697
COP,0.4365496822386562,6561600.0,112067291109.39026,0.11815934414963682,6733466.666666667,109464044788.42735,0.3136900200597792,7937360.0,108523250187.90092,0.23147176651865548,6796360.0,108826000782.03964,0.26747066100367545,6240603.333333333,110378474282.16718
NEE,0.18431978730110574,11733900.0,178604610948.77426,0.11512224957039102,10867566.666666666,176646952761.31796,0.14538030880854907,9221280.0,174356082108.91797,0.1874232278317718,8979800.0,172204747512.91382,0.2316656471655847,10002293.333333334,173090549920.86957
LIN,0.22407313014483776,2477700.0,199223758134.4699,0.11887345568562656,2555066.6666666665,197337289967.3281,0.14148848117612206,2837100.0,196247431810.7149,0.23951947569616158,3437240.0,196665816227.97565,0.1799702209293468,2347750.0,207497941267.4661
RIO,0.006773570344760659,1484100.0,88181527776.5885,0.12016473448542825,1947600.0,87755167979.93071,0.12395204876766681,2080820.0,87346360967.0447,0.2498908235929304,3244990.0,88162717532.30774,0.2425995264701987,3336236.6666666665,86463961415.02103
